Üniversite Adı,Ders Adı,Ders Tanımı
hacettepe üniversitesi,yapay zeka,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
koç üniversitesi,bilgisayar mühendisliğine giriş,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul üniversitesi,kriptografi ve veri güvenliği,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,veritabanı sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
orta doğu teknik üniversitesi,içerik yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,internet programcılığı,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,dijital oyun programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
sabancı üniversitesi,bilgisayar ağları,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,veritabanı sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,veritabanı sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,yapay zeka,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
orta doğu teknik üniversitesi,içerik yönetim sistemleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,veritabanı sistemleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,nesne tabanlı yazılım geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,bilgisayar mühendisliğine giriş,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,siber güvenlik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
koç üniversitesi,genel matematik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
dokuz eylül üniversitesi,dijital oyun programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
yıldız teknik üniversitesi,bilgisayar ağları,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
orta doğu teknik üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,kriptografi ve veri güvenliği,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,genel matematik,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
yıldız teknik üniversitesi,dijital oyun programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
yıldız teknik üniversitesi,dijital oyun programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
sabancı üniversitesi,bilgisayar ağları,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
sabancı üniversitesi,bilgisayar mühendisliğine giriş,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
marmara üniversitesi,nesne tabanlı yazılım geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,sistem programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul teknik üniversitesi,bilgisayar mühendisliğine giriş,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul üniversitesi,makine ğrenmesi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
hacettepe üniversitesi,veri tabanı yönetim sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
dokuz eylül üniversitesi,internet programcılığı,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul teknik üniversitesi,makine ğrenmesi,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul teknik üniversitesi,bilgisayar ağları,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul teknik üniversitesi,veri madenciliği,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
yıldız teknik üniversitesi,veri bilimi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,dijital oyun programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul teknik üniversitesi,sistem programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,dijital oyun programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
yıldız teknik üniversitesi,kriptografi ve veri güvenliği,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,kriptografi ve veri güvenliği,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
marmara üniversitesi,bilgisayar mühendisliğine giriş,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
ankara üniversitesi,yapay zeka,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,veri madenciliği,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
koç üniversitesi,veri tabanı yönetim sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
orta doğu teknik üniversitesi,siber güvenlik,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
yıldız teknik üniversitesi,veritabanı sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul teknik üniversitesi,programlama dilleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
ankara üniversitesi,veri madenciliği,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
hacettepe üniversitesi,içerik yönetim sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul teknik üniversitesi,veritabanı sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
sabancı üniversitesi,veri bilimi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,kriptografi ve veri güvenliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
sabancı üniversitesi,genel matematik,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
sabancı üniversitesi,içerik yönetim sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,kriptografi ve veri güvenliği,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,nesne tabanlı yazılım geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul teknik üniversitesi,internet programcılığı,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul teknik üniversitesi,veri bilimi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
marmara üniversitesi,makine ğrenmesi,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
hacettepe üniversitesi,web programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
ankara üniversitesi,kriptografi ve veri güvenliği,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
yıldız teknik üniversitesi,nesne tabanlı programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,nesne tabanlı yazılım geliştirme,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,sistem programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,içerik yönetim sistemleri,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,bilgisayar ağları,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
sabancı üniversitesi,veritabanı sistemleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,veri madenciliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul teknik üniversitesi,veri madenciliği,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,veri madenciliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,web programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,veritabanı sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,veri madenciliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,nesne tabanlı yazılım geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
koç üniversitesi,bilgisayar ağları,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
istanbul teknik üniversitesi,veri madenciliği,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
hacettepe üniversitesi,internet programcılığı,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
ankara üniversitesi,web programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,mobil uygulama geliştirme,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
ankara üniversitesi,veri madenciliği,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,web programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,nesne tabanlı programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
marmara üniversitesi,kriptografi ve veri güvenliği,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,nesne tabanlı yazılım geliştirme,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,bilgisayar ağları,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
sabancı üniversitesi,internet programcılığı,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
yıldız teknik üniversitesi,internet programcılığı,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
yıldız teknik üniversitesi,veritabanı sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
yıldız teknik üniversitesi,veri bilimi,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,bilgisayar ağları,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
ankara üniversitesi,nesne tabanlı yazılım geliştirme,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,web programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
sabancı üniversitesi,mobil uygulama geliştirme,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
ankara üniversitesi,makine ğrenmesi,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul teknik üniversitesi,içerik yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,yapay zeka,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
hacettepe üniversitesi,sistem programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,bilgisayar ağları,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
sabancı üniversitesi,internet programcılığı,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
hacettepe üniversitesi,sistem programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
sabancı üniversitesi,içerik yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul üniversitesi,sistem programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
dokuz eylül üniversitesi,mobil uygulama geliştirme,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
marmara üniversitesi,veri bilimi,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,veri madenciliği,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,nesne tabanlı yazılım geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,veri madenciliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,bilgisayar ağları,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,dijital oyun programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul üniversitesi,dijital oyun programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
boğaziçi üniversitesi,dijital oyun programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul üniversitesi,makine ğrenmesi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,veri bilimi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,genel matematik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,veri madenciliği,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,içerik yönetim sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
sabancı üniversitesi,sistem programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,web programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,veri madenciliği,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
boğaziçi üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
boğaziçi üniversitesi,nesne tabanlı yazılım geliştirme,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
sabancı üniversitesi,web programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,programlama dilleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
orta doğu teknik üniversitesi,bilgisayar ağları,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,mobil uygulama geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,veri tabanı yönetim sistemleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,sistem programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,bilgisayar ağları,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
boğaziçi üniversitesi,içerik yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,yapay zeka,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
hacettepe üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
koç üniversitesi,genel matematik,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul üniversitesi,içerik yönetim sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
dokuz eylül üniversitesi,siber güvenlik,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,web programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
koç üniversitesi,siber güvenlik,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,makine ğrenmesi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,internet programcılığı,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
ankara üniversitesi,sistem programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
marmara üniversitesi,makine ğrenmesi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,programlama dilleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,web programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,bilgisayar ağları,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,programlama dilleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
sabancı üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
yıldız teknik üniversitesi,kriptografi ve veri güvenliği,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
ankara üniversitesi,veri bilimi,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
koç üniversitesi,bilgisayar ağları,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
koç üniversitesi,internet programcılığı,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,bilgisayar mühendisliğine giriş,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,veri bilimi,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,nesne tabanlı programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,nesne tabanlı yazılım geliştirme,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,veri madenciliği,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
sabancı üniversitesi,yapay zeka,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
sabancı üniversitesi,bilgisayar mühendisliğine giriş,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,siber güvenlik,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
istanbul üniversitesi,kriptografi ve veri güvenliği,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
yıldız teknik üniversitesi,içerik yönetim sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
istanbul üniversitesi,makine ğrenmesi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
istanbul üniversitesi,sistem programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,nesne tabanlı yazılım geliştirme,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,sistem programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,siber güvenlik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,bilgisayar mühendisliğine giriş,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,kriptografi ve veri güvenliği,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,veritabanı sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
dokuz eylül üniversitesi,internet programcılığı,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul üniversitesi,web programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,içerik yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,yapay zeka,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
dokuz eylül üniversitesi,makine ğrenmesi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
hacettepe üniversitesi,nesne tabanlı programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,nesne tabanlı programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
yıldız teknik üniversitesi,sistem programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
ankara üniversitesi,mobil uygulama geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
sabancı üniversitesi,dijital oyun programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,mobil uygulama geliştirme,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
hacettepe üniversitesi,makine ğrenmesi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
sabancı üniversitesi,veri tabanı yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,veri bilimi,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul üniversitesi,veri madenciliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul üniversitesi,dijital oyun programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,bilgisayar ağları,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
ankara üniversitesi,veri tabanı yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
marmara üniversitesi,makine ğrenmesi,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,veritabanı sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul üniversitesi,makine ğrenmesi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
ankara üniversitesi,nesne tabanlı yazılım geliştirme,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
boğaziçi üniversitesi,veri madenciliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
marmara üniversitesi,içerik yönetim sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,makine ğrenmesi,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
ankara üniversitesi,bilgisayar ağları,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
yıldız teknik üniversitesi,kriptografi ve veri güvenliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
dokuz eylül üniversitesi,veri bilimi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
hacettepe üniversitesi,mobil uygulama geliştirme,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
ankara üniversitesi,web programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
yıldız teknik üniversitesi,kriptografi ve veri güvenliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,nesne tabanlı programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul teknik üniversitesi,makine ğrenmesi,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
marmara üniversitesi,web programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,bilgisayar mühendisliğine giriş,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
istanbul üniversitesi,siber güvenlik,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,içerik yönetim sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul teknik üniversitesi,siber güvenlik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
ankara üniversitesi,genel matematik,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
orta doğu teknik üniversitesi,makine ğrenmesi,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
koç üniversitesi,bilgisayar mühendisliğine giriş,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,dijital oyun programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
koç üniversitesi,programlama dilleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,programlama dilleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,bilgisayar mühendisliğine giriş,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
ankara üniversitesi,veritabanı sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
sabancı üniversitesi,veritabanı sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
ankara üniversitesi,içerik yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,makine ğrenmesi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
marmara üniversitesi,internet programcılığı,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
ankara üniversitesi,veritabanı sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,internet programcılığı,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
koç üniversitesi,kriptografi ve veri güvenliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,internet programcılığı,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
