Üniversite Adı,Ders Adı,Ders Tanımı
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Sabancı Üniversitesi,Siber Güvenlik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Üniversitesi,Bilgisayar Ağları,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Programlama Dilleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Dokuz Eylül Üniversitesi,Yapay Zeka,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Genel Matematik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Ankara Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Ankara Üniversitesi,Genel Matematik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Makine Ãğrenmesi,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,Web Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Boğaziçi Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Hacettepe Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Marmara Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Boğaziçi Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Sabancı Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Siber Güvenlik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Dokuz Eylül Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
İstanbul Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Boğaziçi Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Hacettepe Üniversitesi,İnternet Programcılığı,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Ankara Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Yapay Zeka,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Veri Bilimi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Boğaziçi Üniversitesi,Programlama Dilleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Marmara Üniversitesi,Web Programlama,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Marmara Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Koç Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Koç Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Programlama Dilleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Marmara Üniversitesi,Genel Matematik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Veritabanı Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Yapay Zeka,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Sabancı Üniversitesi,Veritabanı Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Yıldız Teknik Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Bilgisayar Ağları,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Veri Bilimi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Bilgisayar Ağları,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Makine Ãğrenmesi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Hacettepe Üniversitesi,Veri Madenciliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Yapay Zeka,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Boğaziçi Üniversitesi,Genel Matematik,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Ankara Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Ankara Üniversitesi,Web Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Veri Bilimi,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Veri Bilimi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Veri Bilimi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Sabancı Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Programlama Dilleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Yapay Zeka,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Hacettepe Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Sabancı Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Dokuz Eylül Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Hacettepe Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Marmara Üniversitesi,Bilgisayar Ağları,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,Genel Matematik,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Hacettepe Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Sabancı Üniversitesi,Veritabanı Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Veri Bilimi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Ankara Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Koç Üniversitesi,Bilgisayar Ağları,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Ankara Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Üniversitesi,Veri Madenciliği,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Yapay Zeka,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Koç Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Üniversitesi,İçerik Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,İnternet Programcılığı,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Kriptografi Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Web Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Marmara Üniversitesi,Makine Ãğrenmesi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
