Üniversite Adı,Ders Adı,Ders Tanımı,stemmed_text
Sabancı Üniversitesi,Dijital Oyun Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Marmara Üniversitesi,Makine Ãğrenmesi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Koç Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
İstanbul Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Marmara Üniversitesi,Bilgisayar Ağları,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Dokuz Eylül Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Koç Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Sabancı Üniversitesi,Veri Bilimi,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Marmara Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Sabancı Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Ankara Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Ankara Üniversitesi,Veri Madenciliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,Genel Matematik,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Koç Üniversitesi,İnternet Programcılığı,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,İnternet Programcılığı,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Boğaziçi Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
İstanbul Üniversitesi,Veritabanı Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Yapay Zeka,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Koç Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Dokuz Eylül Üniversitesi,Programlama Dilleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Sabancı Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Koç Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Yıldız Teknik Üniversitesi,Yapay Zeka,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Sabancı Üniversitesi,Siber Güvenlik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Marmara Üniversitesi,Siber Güvenlik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Dokuz Eylül Üniversitesi,Web Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Marmara Üniversitesi,Programlama Dilleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Koç Üniversitesi,Kriptografi ve Veri Güvenliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Yıldız Teknik Üniversitesi,Web Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Dokuz Eylül Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Yıldız Teknik Üniversitesi,Veri Bilimi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Hacettepe Üniversitesi,Genel Matematik,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Marmara Üniversitesi,Veri Bilimi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Hacettepe Üniversitesi,Kriptografi ve Veri Güvenliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Sabancı Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Sabancı Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Marmara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Koç Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Koç Üniversitesi,Programlama Dilleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Hacettepe Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Hacettepe Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Ankara Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Yıldız Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Hacettepe Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Hacettepe Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Marmara Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Dokuz Eylül Üniversitesi,Veri Bilimi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
İstanbul Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Sabancı Üniversitesi,Kriptografi ve Veri Güvenliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Dokuz Eylül Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
İstanbul Teknik Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Koç Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Hacettepe Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Yıldız Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Marmara Üniversitesi,İnternet Programcılığı,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Yıldız Teknik Üniversitesi,Web Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Marmara Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Marmara Üniversitesi,Sistem Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Ankara Üniversitesi,Veri Bilimi,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Boğaziçi Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
