Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",orta doğu teknik üniversite,or dok teknik üniversites,veri bili,ver bil,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Hacettepe Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Hacettepe üniversite,hacettep üniversites,sistem programlamak,siste programla,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Hacettepe üniversite,hacettep üniversites,veritabanı sistem,veritaba sistem,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Yıldız Teknik Üniversitesi,Genel Matematik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",yıldız teknik üniversite,yıldız teknik üniversites,genel matematik,genel matematik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,nesne taban programlamak,nesne tabanlı programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Boğaziçi Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Boğaziçi üniversite,boğaziç üniversites,sistem programlamak,siste programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Hacettepe Üniversitesi,Yapay Zeka,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Hacettepe üniversite,hacettep üniversites,yapay zekâ,yapay zeka,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Dokuz Eylül Üniversitesi,Genel Matematik,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",dokuz eylül üniversite,dok eylül üniversites,genel matematik,genel matematik,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Hacettepe Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Hacettepe üniversite,hacettep üniversites,Unk program,i̇nternet programcılık,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",dokuz eylül üniversite,dok eylül üniversites,dijital oymak programlamak,dijital oy programla,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",saban üniversite,sabancı üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",dokuz eylül üniversite,dok eylül üniversites,veri maden,ver madencilik,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Boğaziçi Üniversitesi,Siber Güvenlik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Boğaziçi üniversite,boğaziç üniversites,siber Güvenlik,siber güvenlik,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",saban üniversite,sabancı üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",dokuz eylül üniversite,dok eylül üniversites,dijital oymak programlamak,dijital oy programla,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",orta doğu teknik üniversite,or dok teknik üniversites,veritabanı sistem,veritaba sistem,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Sabancı Üniversitesi,Dijital Oyun Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",saban üniversite,sabancı üniversites,dijital oymak programlamak,dijital oy programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Marmara Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Marmara üniversite,marmar üniversites,veri bili,ver bil,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Boğaziçi Üniversitesi,Veri Bilimi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Boğaziçi üniversite,boğaziç üniversites,veri bili,ver bil,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk teknik üniversite,i̇stanbul teknik üniversites,veritabanı sistem,veritaba sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Yıldız Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",orta doğu teknik üniversite,or dok teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",koçmak üniversite,koç üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
İstanbul Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk üniversite,i̇stanbul üniversites,veritabanı sistem,veritaba sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Sabancı Üniversitesi,Siber Güvenlik,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,siber Güvenlik,siber güvenlik,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Sabancı Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",saban üniversite,sabancı üniversites,Unk program,i̇nternet programcılık,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Boğaziçi Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Boğaziçi üniversite,boğaziç üniversites,siber Güvenlik,siber güvenlik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",dokuz eylül üniversite,dok eylül üniversites,Unk Yönet sistem,i̇çerik yönet sistem,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",dokuz eylül üniversite,dok eylül üniversites,siber Güvenlik,siber güvenlik,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,veri maden,ver madencilik,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Marmara Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Marmara üniversite,marmar üniversites,bilgisayar ağ,bilgisayar ak,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,yıldız teknik üniversite,yıldız teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",orta doğu teknik üniversite,or dok teknik üniversites,veritabanı sistem,veritaba sistem,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk teknik üniversite,i̇stanbul teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
İstanbul Üniversitesi,Veri Madenciliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Unk üniversite,i̇stanbul üniversites,veri maden,ver madencilik,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Marmara üniversite,marmar üniversites,nesne taban programlamak,nesne tabanlı programla,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
İstanbul Üniversitesi,Dijital Oyun Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Unk üniversite,i̇stanbul üniversites,dijital oymak programlamak,dijital oy programla,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar ağ,bilgisayar ak,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Koç Üniversitesi,Programlama Dilleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",koçmak üniversite,koç üniversites,programlamak dil,programla dil,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Koç Üniversitesi,Nesne Tabanlı Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",koçmak üniversite,koç üniversites,nesne taban programlamak,nesne tabanlı programla,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
İstanbul Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Unk üniversite,i̇stanbul üniversites,nesne taban programlamak,nesne tabanlı programla,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Ankara Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Ankara üniversite,ankar üniversites,veritabanı sistem,veritaba sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Boğaziçi Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Boğaziçi üniversite,boğaziç üniversites,dijital oymak programlamak,dijital oy programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Ankara Üniversitesi,Dijital Oyun Programlama,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Ankara üniversite,ankar üniversites,dijital oymak programlamak,dijital oy programla,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Sabancı Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",saban üniversite,sabancı üniversites,sistem programlamak,siste programla,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Hacettepe üniversite,hacettep üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Yapay Zeka,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Unk teknik üniversite,i̇stanbul teknik üniversites,yapay zekâ,yapay zeka,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",orta doğu teknik üniversite,or dok teknik üniversites,Unk program,i̇nternet programcılık,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Ankara Üniversitesi,Web Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Ankara üniversite,ankar üniversites,Web programlamak,web programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",dokuz eylül üniversite,dok eylül üniversites,nesne taban programlamak,nesne tabanlı programla,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Dokuz Eylül Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,sistem programlamak,siste programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Sabancı Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",saban üniversite,sabancı üniversites,bilgisayar ağ,bilgisayar ak,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Orta Doğu Teknik Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",orta doğu teknik üniversite,or dok teknik üniversites,dijital oymak programlamak,dijital oy programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,maki,mak,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",yıldız teknik üniversite,yıldız teknik üniversites,nesne taban programlamak,nesne tabanlı programla,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Unk üniversite,i̇stanbul üniversites,yapay zekâ,yapay zeka,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Koç Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,koçmak üniversite,koç üniversites,maki,mak,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Ankara Üniversitesi,Nesne Tabanlı Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Ankara üniversite,ankar üniversites,nesne taban programlamak,nesne tabanlı programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Yıldız Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",yıldız teknik üniversite,yıldız teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Yıldız Teknik Üniversitesi,Web Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",yıldız teknik üniversite,yıldız teknik üniversites,Web programlamak,web programla,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",orta doğu teknik üniversite,or dok teknik üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Hacettepe Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
İstanbul Teknik Üniversitesi,Yapay Zeka,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,yapay zekâ,yapay zeka,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Sabancı Üniversitesi,Sistem Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",saban üniversite,sabancı üniversites,sistem programlamak,siste programla,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
İstanbul Üniversitesi,Makine Ãğrenmesi,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk üniversite,i̇stanbul üniversites,maki,mak,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Unk teknik üniversite,i̇stanbul teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk program,i̇nternet programcılık,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Ankara Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",Ankara üniversite,ankar üniversites,sistem programlamak,siste programla,Unk platform içerik üretim Yönet özel Yöntem,cms platform içerik üret yönet özelleştirme yöntem
İstanbul Teknik Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,genel matematik,genel matematik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Boğaziçi Üniversitesi,İnternet Programcılığı,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Boğaziçi üniversite,boğaziç üniversites,Unk program,i̇nternet programcılık,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
